Year,Child_Population_Growth
2000,0.34507567931711947
2001,1.8525558618391713
2002,2.925937030967596
2003,3.8621004690544254
2004,4.814380759869465
2005,5.5388472752803075
2006,6.269597909088773
2007,7.046541243173829
2008,7.957653848579467
2009,8.932086798885402
2010,9.555047349956101
2011,10.197854835539731
2012,10.752486154671276
2013,11.101525714512409
2014,11.001446144498066
2015,11.641356748128633
2016,12.185095488488408
2017,12.081078176483185
2018,12.584526712766928
2019,12.573061142327703
2020,12.423906052879417
2021,12.569381724772466
2022,12.740229126189211
2023,12.817367653745787
